age,income,cibil,loan,existing_emi,tenure,property_age,property_value,foir,ltv,loan_to_income,employment_type,city_type,approved
61,150977,670,3225255,34514,10,29,5952560,0.4935,0.5418,1.7802,self_employed,non_metro,1
48,41063,631,6702557,25203,14,10,8986046,2.2785,0.7459,13.6022,salaried,metro,1
52,26972,816,6399696,17330,15,6,7523524,2.979,0.8506,19.7727,self_employed,non_metro,1
31,59250,810,4260518,14266,18,20,7790394,0.8919,0.5469,5.9923,salaried,non_metro,1
28,145815,795,3970071,35101,27,23,5336542,0.4554,0.7439,2.2689,salaried,metro,1
39,150290,666,4096312,17132,11,24,6308505,0.4325,0.6493,2.2713,self_employed,metro,1
58,232531,653,6252253,8660,17,2,6903940,0.2868,0.9056,2.2407,self_employed,metro,0
29,21673,729,7115206,24683,19,17,9665468,4.0458,0.7361,27.3582,self_employed,metro,1
24,79140,691,6902359,20179,16,26,7482941,1.0875,0.9224,7.2681,salaried,metro,0
23,120238,800,5047501,17628,15,30,5619662,0.56,0.8982,3.4983,self_employed,non_metro,0
61,76846,772,3029508,8420,29,29,5445996,0.415,0.5563,3.2853,salaried,non_metro,1
64,227438,743,1612189,26823,25,20,2740335,0.175,0.5883,0.5907,self_employed,non_metro,1
64,237419,693,5425961,12077,26,0,9059040,0.2329,0.599,1.9045,self_employed,non_metro,1
37,174743,735,2472851,4418,30,24,4615158,0.1341,0.5358,1.1793,self_employed,metro,1
59,211909,629,869985,23475,20,9,6170568,0.1464,0.141,0.3421,salaried,metro,1
64,37473,836,2681551,23535,26,8,6366292,1.1979,0.4212,5.9633,self_employed,non_metro,0
47,20174,605,2678046,31927,21,22,7890763,2.7139,0.3394,11.0623,salaried,non_metro,0
57,178625,697,4328280,29559,30,3,9604770,0.3518,0.4506,2.0193,self_employed,metro,1
45,156995,711,4587927,8256,29,17,9294618,0.279,0.4936,2.4353,salaried,metro,1
65,105082,630,3535152,35422,29,18,5022991,0.5977,0.7038,2.8035,self_employed,non_metro,1
